smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_12_normalized,smart_12_raw,smart_18_normalized,smart_18_raw,smart_22_normalized,smart_22_raw,smart_23_normalized,smart_23_raw,smart_24_normalized,smart_24_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_226_normalized,smart_226_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,failure
61,93835320,116.2461082,0,89,0,100,9,100,256,90,894086502,116.028169,7.876204596,61,34820,100,0,100,9,100,0,100,100,100,0,100,0,1,338,100,38676201800,66,34,100,30,100,1,99,2485,34,34,100,0,98,1368,98,1368,200,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,34310,100,1.64439E+11,100,5.11195E+11,1
100,0,132,96,172,356,100,12,100,6,100,0,140,15,96,32540,100,0,100,9,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,30,99,1202,99,1202,222,27,100,6,100,6,100,6,200,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,25140.1927,100,1.31052E+11,100,5.2985E+11,1
99,131072,100,0,160,412,100,26,100,0,100,0,100,0,93,50715,100,0,100,25,100,0,50,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,30,99,1834,99,1834,176,34,100,0,100,49,100,0,200,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,25140.1927,100,1.31052E+11,100,5.2985E+11,1
100,0,90,0,100,8044,100,18,100,16,100,0,100,0,31,27814,100,0,100,18,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,1,100,17,100,270,100,37,100,16,100,53,100,53,200,0,100,0,100,69206018,31,27655,100,0,100,0,100,535,100,0,100,1.31052E+11,100,5.2985E+11,1
100,0,100,0,100,8088,100,28,100,0,100,0,100,0,24,30460,100,0,100,28,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,11,100,27,100,62,100,24,100,0,100,0,100,0,200,0,100,0,100,1572866,25,30097,100,0,100,0,100,593,100,0,100,1.31052E+11,100,5.2985E+11,1
46,67390834,116.2461082,0,89,0,100,14,72,46512,87,540261250,116.028169,7.876204596,25,66357,100,0,100,13,100,0,100,100,100,0,100,0,1,270,100,0,64,36,91,18359,100,179,87,27402,36,36,100,0,100,0,100,0,200,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,66230,100,1.19909E+11,100,8.84672E+11,1
100,0,132,96,165,400,100,12,100,0,100,0,128,18,94,47651,100,0,100,8,100,0,1,70,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,30,99,1876,99,1876,222,27,100,0,100,1,100,0,200,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,25140.1927,100,1.31052E+11,100,5.2985E+11,1
69,7354832,116.2461082,0,91,0,100,13,100,0,84,224382498,116.028169,7.876204596,60,35255,100,0,100,13,100,0,100,100,100,0,100,0,100,0,100,0,70,30,100,30,100,4,100,1647,30,30,100,0,100,0,100,0,200,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,35069,100,92311157328,100,5.1341E+11,0
52,21309338,116.2461082,0,92,0,100,7,100,592,87,534467768,116.028169,7.876204596,57,38425,100,0,100,5,100,0,100,100,100,0,100,0,1,185,100,2424869,66,34,100,30,100,1,99,2886,34,34,100,0,14,50240,14,50240,200,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,37799,100,1.56944E+11,100,6.11632E+11,1
71,242527616,116.2461082,0,90,0,100,11,100,1184,88,4858622727,116.028169,7.876204596,54,40763,100,0,100,11,100,0,100,100,100,0,100,0,84,16,100,12885098499,61,39,100,30,100,3,99,2260,39,39,100,0,100,272,100,272,200,0,100,0,100,93776356.8,34.76719577,27891.03527,100,0,100,0,100,590,100,40391,100,1.38082E+11,100,7.02005E+11,1
100,0,80,0,100,8012,100,15,100,0,100,0,100,0,49,20686,100,0,100,15,100,0,100,100,100,0,100,0,62.43796526,0,100,0,67.89788294,32.10211706,100,2,100,14,100,746,100,35,100,0,100,6,100,0,200,0,100,0,100,135135240,50,20339,100,0,100,0,100,594,100,0,100,1.31052E+11,100,5.2985E+11,1
